Date,Vis_in,Vis_out,IR_in,IR_out
3-Apr,197.1747986,129.1917847,256.5222222,299.6520833
4-Apr,143.7786458,88.32982639,264.2965278,296.9902778
5-Apr,147.6720972,80.98608333,267.0909722,306.1770833
6-Apr,50.40636111,40.61604861,314.0090278,313.5916667
7-Apr,81.03386111,51.94070833,324.3291667,322.1680555
8-Apr,148.9897083,94.92389584,302.4159722,318.3930556
9-Apr,204.2758403,132.6863056,275.7729167,314.0340278
10-Apr,188.5811667,106.6828125,260.9076389,307.8569444
11-Apr,176.4625556,85.7641875,280.7958333,318.3895833
12-Apr,89.345,42.27834722,297.3319444,321.8013889
13-Apr,178.8218819,84.30367361,262.8069445,295.7513889
14-Apr,208.5737222,87.70720833,255.18125,300.3701389
15-Apr,190.4068333,67.09395139,272.8486111,316.2020833
16-Apr,109.2595069,33.80076389,300.1777778,327.7569444
17-Apr,109.7783403,30.97133333,273.5111111,312.3680555
18-Apr,208.1360903,46.08072222,240.0541667,314.55625
19-Apr,163.4844375,27.97829861,269.0805556,323.9784722
20-Apr,95.72247916,59.79375,308.4680556,318.4631945
21-Apr,159.1645278,63.34250694,294.2444444,314.7888889
22-Apr,212.3015694,26.21525,268.5326389,337.1958333
23-Apr,174.0575903,19.93911111,288.85625,344.9972222
24-Apr,152.7778264,20.07389583,307.3361111,343.0972222
25-Apr,221.6678889,24.73675,249.8722222,340.6840278
26-Apr,217.6957847,25.10366667,261.2083333,341.2875
27-Apr,213.3780208,24.02211806,270.1215278,354.3826389
28-Apr,152.2966528,16.84311111,292.5430556,355.3548611
29-Apr,150.562,16.88866667,316.6416667,355.4194444
30-Apr,167.7926944,19.6228125,289.6166667,351.8298611
1-May,108.3188056,12.81296528,294.8791667,339.5972222
2-May,106.1897083,12.62100694,308.0444444,336.9055556
3-May,118.8244167,32.56919445,304.1215278,323.3916667
4-May,220.3088056,25.79152778,272.5833333,348.9222222
5-May,215.0408403,25.75908333,280.1881945,361.6416667
6-May,179.8200347,22.08265972,294.8527778,366.6951389
7-May,148.2245069,17.88415278,308.9645833,367.3798611
8-May,225.0781319,28.07109028,292.4680556,375.2006944
9-May,161.1607778,20.28592361,324.4722222,369.2833333
10-May,197.9755417,24.69950694,355.9034722,378.0506944
11-May,134.9388194,17.5433125,364.6673611,379.1868056
12-May,154.5052014,20.43586111,361.3958333,377.1618056
13-May,171.7089931,22.96479167,358.2743056,377.14375
14-May,219.1721667,29.62227778,334.9840278,362.8826389
15-May,222.5173056,29.80791667,339.8131945,367.8118056
16-May,233.0371042,31.00963889,348.1791667,377.81875
17-May,232.8314931,31.54326389,350.9618056,379.6965278
18-May,194.8010208,26.93288194,346.3791667,370.7361111
19-May,163.4939514,23.03355555,340.6958333,361.0965278
20-May,120.1338472,16.66121528,322.6416667,348.0256944
21-May,161.8410417,22.57227083,316.5923611,358.1041667
22-May,159.5290556,23.01147917,314.5659722,359.5604167
23-May,182.3683958,26.51727083,307.3131944,367.3701389
24-May,233.8409028,33.02848611,299.5006944,376.6854167
25-May,233.8448194,32.69346528,308.7243055,389.1923611
26-May,154.3214444,23.60505556,308.425,373.9048611
27-May,238.7900069,34.43570833,310.2159722,393.26875
28-May,146.3719097,22.50910417,302.8215278,363.9583333
29-May,171.6069236,26.25004861,305.275,367.9569444
30-May,147.0369514,22.14388889,307.2402778,363.5604167
31-May,230.0236736,32.99891667,317.0375,385.3715278
1-Jun,234.8514792,34.91965972,303.5972222,391.4340278
2-Jun,238.0598125,34.98266667,296.2972222,389.1756944
3-Jun,119.4589306,18.30349306,316.7006944,367.9784722
4-Jun,233.7713264,34.37405556,312.6756944,387.2027778
5-Jun,211.8019375,31.62938889,318.7604167,397.8534722
6-Jun,181.3379375,26.85609722,318.2305556,391.1118056
7-Jun,225.9830764,33.47648611,308.6958333,393.0229167
8-Jun,238.4544792,35.51842361,304.39375,397.0798611
9-Jun,233.5961319,35.14924305,306.1201389,398.1388889
10-Jun,235.7399792,36.00705556,305.0611111,395.3916667
11-Jun,240.0984583,36.27202083,301.5763889,394.3340278
